                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5335,                 4.6685,                 1.5847,                0.00415,                0.03651,                0.00279,                0.00138,                 2.3794,                 4.5903,                 1.3626,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                 2.6046,                  4.711,                 1.6198,                0.49264,                0.02956,                0.02049,                0.01048,                 2.1754,                 3.3856,                 1.0971,             7.8318e-05,             7.8318e-05,             7.8318e-05
                      3,                 1.9038,                 2.3815,                 1.1255,                0.03147,                0.02807,                 0.0154,                0.01084,                 1.8383,                    inf,                 1.0151,             0.00012069,             0.00012069,             0.00012069
                      4,                 1.7592,                 1.4637,                 1.0563,                0.05126,                0.01866,                 0.0287,                0.01499,                 2.1519,                    inf,                 1.0467,             0.00016283,             0.00016283,             0.00016283
                      5,                 1.7164,                 1.3313,                 1.0202,                0.05872,                0.01608,                0.03014,                0.02639,                   1.77,                    inf,                0.98535,             0.00020472,             0.00020472,             0.00020472
                      6,                 1.4967,                 1.0435,                0.98361,                0.13958,                0.04908,                0.08029,                0.05672,                 1.8284,                    inf,                 1.0399,             0.00024637,             0.00024637,             0.00024637
                      7,                 1.4608,                0.92888,                0.95486,                0.13949,                0.01895,                0.04194,                0.02484,                    nan,                    nan,                    nan,             0.00028777,             0.00028777,             0.00028777
                      8,                 1.5098,                0.93828,                0.95513,                0.23929,                0.11393,                0.11719,                0.08506,                 1.6733,                    inf,                 1.0755,             0.00032894,             0.00032894,             0.00032894
                      9,                 1.3995,                0.85765,                0.94088,                 0.3158,                 0.2359,                0.20143,                0.10996,                 1.7852,                    inf,                  1.044,             0.00036986,             0.00036986,             0.00036986
                     10,                 1.4386,                0.86387,                0.95997,                0.30926,                0.03759,                0.05095,                0.03309,                 2.3062,                    inf,                 1.6017,             0.00041054,             0.00041054,             0.00041054
                     11,                 1.3106,                0.81355,                0.94604,                0.19186,                0.07122,                0.04461,                0.02174,                 2.8601,                    inf,                 3.2995,             0.00045097,             0.00045097,             0.00045097
                     12,                  1.424,                0.84882,                0.94671,                 0.1275,                0.00165,                 0.0219,                0.00682,                    nan,                    nan,                    nan,             0.00049117,             0.00049117,             0.00049117
                     13,                 1.4468,                0.84477,                0.98108,                  9e-05,                0.00014,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00053112,             0.00053112,             0.00053112
                     14,                 1.4105,                0.83943,                0.94193,                0.17574,                 0.0212,                0.03932,                0.02053,                 3.2346,                    inf,                 2.6939,             0.00057083,             0.00057083,             0.00057083
                     15,                 1.3228,                0.74954,                0.93556,                0.38676,                0.21353,                0.17227,                 0.0997,                 1.8225,                 2.0424,                 1.0283,              0.0006103,              0.0006103,              0.0006103
                     16,                 1.4166,                 0.7851,                0.94678,                0.51167,                0.32164,                0.32132,                0.18501,                 1.6381,                 1.0986,                0.96433,             0.00064952,             0.00064952,             0.00064952
                     17,                 1.4163,                0.77354,                0.93871,                0.41076,                0.32871,                0.28492,                0.15964,                 1.7277,                    inf,                0.99427,             0.00068169,             0.00068169,             0.00068169
                     18,                  1.342,                0.75921,                0.95668,                0.49754,                0.32799,                0.31977,                0.19289,                   1.51,                 1.2149,                0.95792,             0.00067967,             0.00067967,             0.00067967
                     19,                 1.3856,                0.77582,                0.94546,                0.42654,                0.31626,                0.30215,                0.18082,                 1.5678,                 1.6723,                0.95894,             0.00067765,             0.00067765,             0.00067765
                     20,                 1.3268,                0.77821,                0.94314,                0.56782,                0.31283,                0.31342,                0.18022,                  1.559,                 1.3614,                0.95517,             0.00067563,             0.00067563,             0.00067563
