                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5084,                 4.8161,                 1.6665,                 0.5998,                0.07835,                0.04475,                0.02863,                 2.0131,                 7.5831,                 1.1295,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                 1.8019,                 2.1477,                 1.1146,                0.00701,                0.01895,                0.00406,                0.00235,                 1.9084,                    nan,                 1.0971,             0.00016357,             0.00016357,             0.00016357
                      3,                 1.6419,                 1.3349,                 1.0519,                0.15742,                0.02921,                0.04359,                0.02778,                    nan,                    nan,                    nan,             0.00024792,             0.00024792,             0.00024792
                      4,                 1.4919,                 1.0916,                 1.0012,                0.11121,                0.09126,                0.05307,                0.03152,                    nan,                    nan,                    nan,             0.00033159,             0.00033159,             0.00033159
                      5,                 1.4168,                0.96835,                0.98884,                 0.0153,                0.00737,                0.00784,                0.00381,                    nan,                    nan,                    nan,             0.00041459,             0.00041459,             0.00041459
                      6,                  1.443,                0.91365,                0.99134,                0.27263,                0.22947,                0.15763,                0.07984,                  1.738,                    inf,                 1.1121,              0.0004969,              0.0004969,              0.0004969
                      7,                 1.4733,                0.93512,                  0.993,                0.13931,                0.14158,                0.09227,                0.05307,                 1.7458,                    inf,                 1.1284,             0.00057854,             0.00057854,             0.00057854
                      8,                 1.4016,                0.89033,                0.98027,                0.48643,                0.28567,                0.29159,                0.16762,                 1.6562,                  1.255,                 1.0262,              0.0006595,              0.0006595,              0.0006595
                      9,                 1.4584,                0.91302,                0.96067,                0.37026,                0.17754,                0.11287,                0.06317,                 1.8088,                    inf,                  1.232,             0.00069138,             0.00069138,             0.00069138
                     10,                 1.4597,                0.90228,                0.97606,                0.54422,                0.23962,                0.22582,                0.12105,                 1.7473,                 1.5137,                 1.0646,             0.00068855,             0.00068855,             0.00068855
                     11,                 1.4015,                 0.8786,                0.95709,                 0.4296,                0.24045,                0.23563,                0.12837,                 1.6694,                 1.7044,                  1.022,             0.00068573,             0.00068573,             0.00068573
                     12,                 1.4803,                 0.8602,                0.96201,                0.44465,                 0.3057,                0.28526,                0.16238,                 1.5694,                 1.6015,                 1.0068,              0.0006829,              0.0006829,              0.0006829
                     13,                 1.4207,                0.87031,                0.97024,                0.56748,                0.31184,                0.33881,                0.20446,                 1.5056,                  1.313,                0.98811,             0.00068007,             0.00068007,             0.00068007
                     14,                 1.3823,                0.85544,                0.96187,                0.65811,                 0.3461,                0.37342,                0.21891,                 1.5084,                 1.2797,                0.99299,             0.00067724,             0.00067724,             0.00067724
                     15,                 1.3858,                0.81752,                0.95107,                0.59712,                0.31329,                0.32888,                0.19275,                 1.5517,                  1.107,                0.99798,             0.00067442,             0.00067442,             0.00067442
                     16,                 1.3124,                0.77814,                0.94939,                0.58633,                0.35686,                0.39098,                0.22196,                 1.5352,                 1.0585,                 1.0027,             0.00067159,             0.00067159,             0.00067159
                     17,                 1.3333,                0.77792,                0.94778,                0.63962,                 0.3682,                0.38929,                0.23014,                 1.4723,                0.91105,                0.97905,             0.00066876,             0.00066876,             0.00066876
                     18,                 1.3571,                0.79813,                0.93954,                0.64496,                0.36781,                0.39245,                0.23877,                 1.4158,                0.95217,                0.95796,             0.00066593,             0.00066593,             0.00066593
